,GEOID,east,north,south,west,lon,lat
313,510594913031,-77.4282,38.8388,38.8301,-77.4411,-77.43465,38.834450000000004
314,510594914013,-77.4222,38.8388,38.832,-77.4312,-77.42670000000001,38.8354
315,510594914041,-77.429,38.8204,38.8098,-77.4441,-77.43655000000001,38.8151
316,510594915011,-77.4115,38.8498,38.8387,-77.4323,-77.4219,38.84425
317,510594916011,-77.4269,38.8942,38.8884,-77.4332,-77.43005,38.8913
318,510594917011,-77.3712,38.8629,38.8546,-77.3886,-77.37989999999999,38.85875
319,510594917022,-77.3474,38.8683,38.8589,-77.3687,-77.35804999999999,38.8636
320,510594917031,-77.3461,38.8618,38.8557,-77.3634,-77.35475,38.85875
321,510594917041,-77.3629,38.8589,38.8552,-77.3717,-77.3673,38.85705
322,510594918011,-77.3822,38.863,38.8525,-77.4009,-77.39155,38.857749999999996
323,510594918031,-77.3948,38.8843,38.8738,-77.4088,-77.40180000000001,38.87905000000001
324,510594921001,-77.331,38.7831,38.7222,-77.3733,-77.35215,38.75265
325,510594921002,-77.3009,38.7822,38.7403,-77.3412,-77.32105,38.761250000000004
326,510594921003,-77.277,38.7764,38.7427,-77.3139,-77.29545,38.759550000000004
327,510594922021,-77.2508,38.7555,38.7365,-77.2823,-77.26655,38.745999999999995
328,510594923001,-77.2327,38.7422,38.7325,-77.2523,-77.2425,38.73735
329,510599801001,-77.1843,38.7592,38.7427,-77.2158,-77.20005,38.75095
330,510619301004,-77.8305,38.8943,38.8579,-77.8677,-77.84909999999999,38.8761
331,510619302062,-77.7873,38.7021,38.629,-77.8696,-77.82845,38.665549999999996
332,510619303023,-77.7903,38.7287,38.7138,-77.808,-77.79915,38.72125
333,510619304021,-77.6985,38.764,38.729,-77.7346,-77.71655,38.7465
334,510619307061,-77.7258,38.5726,38.506,-77.8115,-77.76865000000001,38.5393
335,510650201012,-78.2279,38.0064,37.9472,-78.3251,-78.2765,37.9768
336,510650201013,-78.282,37.986,37.9185,-78.3513,-78.31665,37.95225
337,510670201022,-79.5942,37.051,36.975,-79.6991,-79.64665,37.013000000000005
